symbol,atomic_number,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,lattice_constant,melting_point,specific_heat,vdw_radius,covalent_radius_cordero,covalent_radius_pyykko,en_pauling,heat_of_formation,covalent_radius_slater,vdw_radius_uff,vdw_radius_mm3,abundance_crust,en_ghosh,vdw_radius_alvarez,c6_gb,atomic_weight,atomic_radius_rahm,covalent_radius_pyykko_double,mendeleev_number,pettifor_number,glawe_number
Co,27,125.0,6.7,3143.0,8.9,55.0,2.51,1768.0,0.456,200.0,138.0,111.0,1.88,426.7,135.0,287.2,223.0,25.0,0.14323629999999998,240.0,461.0,58.93319399999999,222.00000000000003,103.0,63,64.0,70.0
Ni,28,124.0,6.6,3005.0,8.902000000000001,49.0,3.52,1726.0,0.44299999999999995,197.0,124.0,110.0,1.91,430.1,135.0,283.4,222.00000000000003,84.0,0.1472068,240.0,393.0,58.6934,219.0,101.0,67,67.0,69.0
Cu,29,128.0,7.1,2840.0,8.96,46.5,3.61,1356.6,0.385,196.0,132.0,112.0,1.9,337.4,135.0,349.5,226.0,60.0,0.15117160000000002,238.0,264.0,63.54600000000001,217.0,115.0,71,72.0,68.0
Zn,30,138.0,9.2,1180.0,7.132999999999999,38.67,2.66,692.73,0.38799999999999996,201.0,122.0,118.0,1.65,130.4,135.0,276.3,229.0,70.0,0.15515179999999998,239.0,276.0,65.38,222.00000000000003,120.0,77,76.0,74.0
Ga,31,141.0,11.8,2676.0,5.91,50.0,4.51,302.93,0.37200000000000005,187.0,122.0,124.0,1.81,271.96,130.0,438.3,246.0,19.0,0.17237729999999998,232.0,456.0,69.723,233.0,117.0,83,81.0,79.0
Ge,32,137.0,13.6,3103.0,5.3229999999999995,40.0,5.66,1210.6,0.322,211.0,120.0,121.0,2.01,372.0,125.0,428.0,244.0,1.5,0.1895892,229.0,365.0,72.63,234.0,111.0,89,84.0,84.0
As,33,139.0,13.1,876.0,5.73,30.0,4.13,1090.0,0.32799999999999996,185.0,119.0,121.0,2.18,302.5,115.0,423.00000000000006,236.0,1.8,0.2068208,188.0,260.0,74.921595,231.0,114.0,95,89.0,90.0
Se,34,140.0,16.5,958.1,4.79,28.9,4.36,490.0,,190.0,120.0,116.0,2.55,227.2,115.0,420.5,229.0,0.05,0.2240328,182.0,233.0,78.971,224.00000000000003,107.0,101,93.0,95.0
Br,35,,23.5,331.9,3.12,21.0,6.67,265.9,,185.0,120.0,114.0,2.96,111.85,115.0,418.9,222.00000000000003,2.4,0.2412578,186.0,187.0,79.904,219.0,109.0,108,98.0,100.0
Kr,36,,32.2,120.85,2.155,16.78,5.72,116.6,0.247,202.0,116.0,117.0,,,,414.1,215.0,0.0001,0.2584813,207.0,136.0,83.79799999999999,212.0,121.0,115,4.0,4.0
Rb,37,248.0,55.9,961.0,1.5319999999999998,319.8,5.59,312.2,0.36,303.0,220.00000000000003,210.0,0.82,80.9,235.0,411.4,325.0,90.0,0.104686,321.0,4660.0,85.4678,240.0,202.0,4,9.0,9.0
Sr,38,215.0,33.7,1657.0,2.54,197.2,6.08,1042.0,0.301,249.00000000000003,195.0,185.0,0.95,164.0,200.0,364.1,300.0,370.0,0.1185082,284.0,3230.0,87.62,279.0,157.0,8,15.0,15.0
Y,39,178.0,19.8,3611.0,4.47,162.0,3.65,1795.0,0.284,232.0,190.0,163.0,1.22,424.7,180.0,334.5,271.0,33.0,0.1216986,275.0,2600.0,88.90584,274.0,130.0,12,19.0,21.0
Zr,40,160.0,14.1,4650.0,6.506,112.0,3.23,2125.0,0.281,223.0,175.0,154.0,1.33,610.0,155.0,312.4,254.0,165.0,0.1248887,252.0,1360.0,91.22399999999999,268.0,127.0,44,49.0,49.0
Nb,41,146.0,10.8,5015.0,8.57,98.0,3.3,2741.0,0.268,218.00000000000003,164.0,147.0,1.6,733.0,145.0,316.5,243.00000000000003,20.0,0.1280782,256.0,1140.0,92.90637,251.0,125.0,48,52.0,53.0
Mo,42,139.0,9.4,4885.0,10.22,87.0,3.15,2890.0,0.251,217.0,154.0,138.0,2.16,658.98,145.0,305.2,239.0,1.2,0.1312672,245.0,1030.0,95.95,244.0,121.0,52,55.0,56.0
Tc,43,136.0,8.5,5150.0,11.5,79.0,2.74,2445.0,0.243,216.0,147.0,128.0,2.1,678.0,135.0,299.8,236.0,,0.1344592,244.0,939.0,97.90720999999999,241.0,120.0,56,58.0,59.0
Ru,44,134.0,8.3,4173.0,12.41,72.0,2.7,2583.0,0.23800000000000002,213.0,146.0,125.0,2.2,650.6,130.0,296.3,234.0,0.001,0.1376494,246.0,809.0,101.07,237.0,114.0,60,63.0,61.0
Rh,45,134.0,8.3,4000.0,12.41,66.0,3.8,2239.0,0.244,210.0,142.0,125.0,2.28,556.0,135.0,292.9,234.0,0.001,0.1408379,244.0,708.0,102.9055,233.0,110.0,64,66.0,63.0
Pd,46,137.0,8.9,3413.0,12.02,26.14,3.89,1825.0,0.244,210.0,139.0,120.0,2.2,376.6,140.0,289.9,237.0,0.015,0.1440276,215.0,628.0,106.42,215.0,117.0,68,69.0,65.0
Ag,47,144.0,10.3,2485.0,10.5,55.0,4.09,1235.1,0.237,211.0,145.0,128.0,1.93,284.9,160.0,314.8,243.00000000000003,0.075,0.1472165,253.0,341.0,107.8682,225.0,139.0,72,71.0,67.0
Cd,48,154.0,13.1,1038.0,8.65,46.0,2.98,594.1,0.23199999999999998,218.00000000000003,144.0,136.0,1.69,111.8,155.0,284.8,250.0,0.15,0.1504066,249.0,405.0,112.414,238.0,144.0,78,75.0,75.0
In,49,166.0,15.7,2353.0,7.31,65.0,4.59,429.32,0.23399999999999999,193.0,142.0,142.0,1.78,243.0,155.0,446.3,264.0,0.25,0.16423,243.0,643.0,114.818,246.0,136.0,84,79.0,80.0
Sn,50,162.0,16.3,2543.0,7.31,53.0,5.82,505.1,0.222,217.0,139.0,140.0,1.96,301.2,145.0,439.19999999999993,259.0,2.3,0.178052,242.0,715.0,118.71,248.0,130.0,90,83.0,83.0
Sb,51,159.0,18.4,1908.0,6.691,43.0,4.51,903.9,0.205,206.0,139.0,140.0,2.05,264.4,145.0,442.0,252.0,0.2,0.1918774,247.0,504.0,121.76,246.0,133.0,96,88.0,91.0
Te,52,160.0,20.5,1263.0,6.24,38.0,4.45,722.7,0.201,206.0,138.0,136.0,2.1,196.6,140.0,447.0,244.0,0.001,0.20569920000000005,199.0,471.0,127.6,242.0,128.0,102,92.0,94.0
I,53,,25.7,457.5,4.93,32.9,7.72,386.7,,198.0,139.0,133.0,2.66,106.757,140.0,450.0,236.0,0.45,0.2195176,204.0,389.0,126.90446999999999,238.0,129.0,109,97.0,99.0
Xe,54,,42.9,166.1,3.52,27.32,6.2,161.3,0.158,216.0,140.0,131.0,2.6,,,440.4,228.0,3e-05,0.2333511,228.0,302.0,131.293,232.0,135.0,116,5.0,5.0
Cs,55,267.0,70.0,951.6,1.8730000000000002,400.9,6.05,301.6,0.24100000000000002,343.0,244.0,232.0,0.79,76.5,260.0,451.69999999999993,344.0,3.0,0.1542125,348.0,6660.0,132.90545196,249.00000000000003,209.0,5,8.0,8.0
Ba,56,222.0,39.0,1910.0,3.5,272.0,5.02,1002.0,0.192,268.0,215.0,196.0,0.89,179.1,215.0,370.3,307.0,425.0,0.1586786,303.0,5540.0,137.327,293.0,161.0,9,14.0,14.0
La,57,187.0,22.5,3730.0,6.15,215.0,3.75,1194.0,0.19699999999999998,243.00000000000003,207.0,180.0,1.1,431.0,195.0,352.2,278.0,39.0,0.163142,298.0,3730.0,138.90547,284.0,139.0,13,33.0,32.0
Ce,58,181.0,21.0,3699.0,6.757000000000001,205.0,5.16,1072.0,0.205,242.0,204.0,163.0,1.12,420.1,185.0,355.6,274.0,66.5,0.16760999999999998,288.0,3480.0,140.116,282.0,137.0,15,32.0,31.0
Pr,59,182.0,20.8,3785.0,6.773,216.0,3.67,1204.0,0.192,240.0,203.0,176.0,1.13,356.9,185.0,360.6,273.0,9.2,0.17207999999999998,292.0,3760.0,140.90766000000002,286.0,138.0,17,31.0,30.0
Nd,60,182.0,20.6,3341.0,7.007000000000001,208.0,3.66,1294.0,0.205,239.0,201.0,174.0,1.14,326.9,185.0,357.5,273.0,41.5,0.176539,295.0,3560.0,144.24200000000002,284.0,137.0,19,30.0,29.0
Pm,61,,,3000.0,7.2,200.0,,1441.0,0.185,238.0,199.0,173.0,,,185.0,354.7,272.0,,0.1810032,,3340.0,144.91276000000002,283.0,135.0,21,29.0,28.0
Sm,62,181.0,19.9,2064.0,7.52,192.0,9.0,1350.0,0.18,236.0,198.0,172.0,1.17,206.7,185.0,352.0,271.0,7.05,0.185468,290.0,3130.0,150.36,280.0,134.0,23,28.0,27.0
Eu,63,199.0,28.9,1870.0,5.242999999999999,184.0,4.61,1095.0,0.17600000000000002,235.0,198.0,168.0,,177.4,185.0,349.3,294.0,2.0,0.189935,287.0,2940.0,151.964,280.0,134.0,25,18.0,17.0
Gd,64,179.0,19.9,3539.0,7.9,158.0,3.64,1586.0,0.23,234.0,196.0,169.0,1.2,397.5,180.0,336.8,271.0,6.2,0.1944,283.0,2340.0,157.25,277.0,135.0,27,27.0,26.0
Tb,65,180.0,19.2,3296.0,8.229,170.0,3.6,1629.0,0.183,233.0,194.0,168.0,,388.7,175.0,345.1,270.0,1.2,0.198863,279.0,2590.0,158.92535,276.0,135.0,29,26.0,25.0
Dy,66,180.0,19.0,2835.0,8.55,163.0,3.59,1685.0,0.17300000000000001,231.0,192.0,167.0,1.22,290.4,175.0,342.8,290.0,5.2,0.20333,287.0,2430.0,162.5,275.0,133.0,31,25.0,24.0
Ho,67,179.0,18.7,2968.0,8.795,156.0,3.58,1747.0,0.16399999999999998,230.0,192.0,166.0,1.23,300.6,175.0,340.9,267.0,1.3,0.207795,281.0,2280.0,164.93033,273.0,133.0,33,24.0,23.0
Er,68,178.0,18.4,3136.0,9.06,150.0,3.56,1802.0,0.168,229.0,189.0,165.0,1.24,316.4,175.0,339.1,267.0,3.5,0.212261,283.0,2150.0,167.25900000000001,272.0,133.0,35,23.0,22.0
Tm,69,177.0,18.1,2220.0,9.321,144.0,3.54,1818.0,0.16,227.0,190.0,164.0,1.25,232.2,175.0,337.4,267.0,0.52,0.2167244,279.0,2020.0,168.93421999999998,271.0,131.0,37,22.0,20.0
Yb,70,194.0,24.8,1466.0,6.9654,139.0,5.49,1097.0,0.145,226.0,187.0,170.0,,155.6,175.0,335.5,279.0,3.2,0.22119,280.0,1910.0,173.045,277.0,129.0,39,17.0,18.0
Lu,71,175.0,17.8,3668.0,9.8404,137.0,3.51,1936.0,0.155,224.00000000000003,187.0,162.0,1.0,427.6,175.0,364.0,265.0,0.8,0.22565,274.0,2020.0,174.9668,270.0,131.0,41,21.0,19.0
Hf,72,167.0,13.6,5470.0,13.31,103.0,3.2,2503.0,0.146,223.0,175.0,152.0,1.3,618.4,155.0,314.1,253.0,3.0,0.229987,263.0,1040.0,178.49,264.0,128.0,45,50.0,50.0
Ta,73,149.0,10.9,5698.0,16.654,74.0,3.31,3269.0,0.14,222.00000000000003,170.0,146.0,1.5,782.0,145.0,317.0,243.00000000000003,2.0,0.234581,253.0,887.0,180.94788,258.0,126.0,49,53.0,52.0
W,74,141.0,9.53,5930.0,19.3,68.0,3.16,3680.0,0.133,218.00000000000003,162.0,137.0,1.7,851.0,135.0,309.6,239.0,1.25,0.2390504,257.0,757.0,183.84,253.0,120.0,53,56.0,57.0
Re,75,137.0,8.85,5900.0,21.02,62.0,2.76,3453.0,0.138,216.0,151.0,131.0,1.9,774.0,135.0,295.4,237.0,0.0007,0.2435164,249.0,663.0,186.207,249.00000000000003,119.0,57,59.0,58.0
Os,76,135.0,8.43,5300.0,22.57,57.0,2.74,3327.0,0.131,216.0,144.0,129.0,2.2,787.0,130.0,312.0,235.0,0.0015,0.2479845,248.0,584.0,190.23,244.0,116.0,61,62.0,60.0
Ir,77,136.0,8.54,4403.0,22.42,54.0,3.84,2683.0,0.133,213.0,141.0,122.0,2.2,669.0,135.0,284.0,236.0,0.001,0.25106,241.0,522.0,192.217,233.0,115.0,65,65.0,62.0
Pt,78,139.0,9.1,4100.0,21.45,48.0,3.92,2045.0,0.133,213.0,136.0,123.0,2.2,565.7,135.0,275.4,239.0,0.005,0.25691,229.0,470.0,195.084,230.0,112.0,69,68.0,64.0
Au,79,146.0,10.2,3080.0,19.3,36.0,4.08,1337.58,0.129,214.0,136.0,124.0,2.4,368.2,135.0,329.3,243.00000000000003,0.004,0.26137,232.0,427.0,196.966569,226.0,121.0,73,70.0,66.0
Hg,80,157.0,14.8,629.73,13.546,33.91,2.99,234.28,0.138,223.0,132.0,133.0,1.9,61.38,150.0,270.5,253.0,0.085,0.16899999999999998,245.0,268.0,200.592,229.0,142.0,79,74.0,76.0
Tl,81,171.0,17.2,1730.0,11.85,50.0,3.46,576.6,0.128,196.0,145.0,144.0,1.8,182.2,190.0,434.69999999999993,259.0,0.85,0.173447,247.0,509.0,204.38,242.0,142.0,85,78.0,81.0
Pb,82,175.0,18.3,2013.0,11.35,47.0,4.95,600.65,0.159,202.0,146.0,144.0,1.8,195.2,,429.7,274.0,14.0,0.177911,260.0,534.0,207.2,249.00000000000003,135.0,91,82.0,82.0
Bi,83,170.0,21.3,1883.0,9.747,48.0,4.75,544.5,0.124,207.0,148.0,151.0,1.9,209.6,160.0,437.0,266.0,0.0085,0.182377,254.0,513.0,208.9804,250.0,141.0,97,87.0,92.0
Po,84,176.0,22.7,1235.0,9.32,44.0,3.35,527.0,0.125,197.0,140.0,145.0,2.0,,190.0,470.9,259.0,2e-10,0.186842,,424.0,209.0,250.0,135.0,103,91.0,93.0
At,85,,,610.0,,42.0,,575.0,,202.0,150.0,147.0,2.2,,,475.0,251.0,,0.19131,,351.0,210.0,247.00000000000003,138.0,110,96.0,98.0
